substation id,substation name,status,owner,kv_12_to_32,kv_33_to_92,kv_110_to_161,kv_220_to_287,kv_345_to_500,kv_500_dc,highest_kv,postal city,county,zip code,state
SS1706,Morro Hill,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Oceanside,San Diego,92057,CA
SS2595,Morwind,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Mojave,Kern,93501,CA
SS3454,Moscone,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,San Francisco,San Francisco,94103,CA
SS1793,Mosher,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Stockton,San Joaquin,95210,CA
SS2028,Mott,Operational,PCORP,0,YES,0,0,0,0,33kV to 92kV,Mount Shasta,Siskiyou,96067,CA
SS1180,Moulton,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Lake Forest,Orange,92630,CA
SS3533,Mountain Center,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Idyllwild,San Bernardino,92549,CA
SS2833,Mountainview,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,San Bernardino,San Bernardino,92408,CA
SS2848,Mountwind,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,Desert Hot Springs,Riverside,92240,CA
SS3359,Moval,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Moreno Valley,Riverside,92555,CA
SS0667,Movie,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Culver City,Los Angeles,90230,CA
SS0343,Mrip,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Ripon,San Joaquin,95366,CA
SS3190,Msc,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,San Pablo,Contra Costa,94806,CA
SS0024,Mt. Eden,Operational,PG&E,0,YES,0,YES,0,0,220kV to 287kV,Hayward,Alameda,94545,CA
SS2671,Mt. Gate,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Redding,Shasta,96003,CA
SS2673,Mt. Gate Jct.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Redding,Shasta,96003,CA
SS2494,Mt. House,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Byron,Alameda,94514,CA
SS2425,Mt. Lassen,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Susanville,Lassen,96130,CA
SS1607,Mt. Pass,Operational,SCE,0,YES,YES,0,0,0,110kV to 161kV,Nipton,San Bernardino,92364,CA
SS0516,Mt. Poso,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Bakersfield,Kern,93308,CA
SS0189,Mt. Quarries,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Cool,El Dorado,95614,CA
SS2029,Mt. Shasta,Operational,PCORP,0,YES,0,0,0,0,33kV to 92kV,Mount Shasta,Siskiyou,96067,CA
SS0444,Mt. Tom,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Bishop,Inyo,93514,CA
SS3053,Mt. Vernon,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,San Bernardino,San Bernardino,92411,CA
SS1938,Mt. View,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Mountain View,Santa Clara,94041,CA
SS2399,Mt. View,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Riverside,Riverside,92504,CA
SS2424,Muck Valley,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Mcarthur,Lassen,96056,CA
SS0101,Murphy,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Murphys,Calaveras,95247,CA
SS0844,Murphy,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Whittier,Los Angeles,90602,CA
SS1707,Murray,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,La Mesa,San Diego,91942,CA
SS3317,Murrietta 2,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,Murrieta,Riverside,92562,CA
SS0203,Mussel Slough,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Lemoore,Kings,93245,CA
SS2871,Mwd Eastside Res,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Winchester,Riverside,92596,CA
SS2984,Mwd Etiwanda,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Rancho Cucamonga,San Bernardino,91739,CA
SS0780,Mwd Foothill,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Castaic,Los Angeles,91384,CA
SS2855,Mwd Lake Mathews,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Riverside,Riverside,92503,CA
SS2985,Mwd Temescal,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Corona,Riverside,92881,CA
SS3155,Mwd Venice,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Culver City,Los Angeles,90230,CA
SS1481,Myrtle-Date,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95841,CA
SS0805,N.N,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,La Puente,Los Angeles,91744,CA
SS2689,N.N.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Quincy,Plumas,95971,CA
SS2928,N.N.,Operational,PG&E,0,0,0,YES,0,0,220kV to 287kV,Middletown,Lake,95461,CA
SS2933,N.N.,Operational,Other,0,0,0,YES,0,0,220kV to 287kV,Byron,Alameda,94514,CA
SS2936,N.N.,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,Independence,Inyo,93526,CA
SS2939,N.N.,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Lost Hills,Kern,93249,CA
SS2941,N.N.,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Bakersfield,Kern,93308,CA
SS2950,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Tehachapi,Kern,93561,CA
SS2952,N.N.,Operational,SCE,0,0,0,YES,0,0,220kV to 287kV,Mojave,Kern,93501,CA
SS2953,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Mojave,Kern,93501,CA
SS2960,N.N.,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Fellows,Kern,93224,CA
SS2963,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Burbank,Los Angeles,91504,CA
SS2965,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Glendale,Los Angeles,91201,CA
SS2966,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Burbank,Los Angeles,91505,CA
SS2970,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Harbor City,Los Angeles,90710,CA
SS2971,N.N.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Brawley,Imperial,92227,CA
SS2972,N.N.,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Shasta Lake,Shasta,96019,CA
SS2973,N.N.,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Geyserville,Sonoma,95441,CA
SS2986,N.N.,Operational,IID,0,0,YES,0,0,0,110kV to 161kV,Indio,Riverside,92203,CA
SS2989,N.N.,Operational,PG&E,0,0,0,YES,0,0,220kV to 287kV,Livermore,Alameda,94551,CA
SS2993,N.N.,Operational,Other,0,0,0,YES,0,0,220kV to 287kV,Murphys,Calaveras,95247,CA
SS2994,N.N.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Lodi,San Joaquin,95242,CA
SS2999,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Modesto,Stanislaus,95356,CA
SS3000,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Modesto,Stanislaus,95356,CA
