substation,dist_feeders
SEVENTH NORTH,1
SEWALL'S ISLAND,1
SHARON,1
SHELBY,2
SHEPPARD STATION,2
SHERMAN,1
SHORE RD,1
SILVER LAKE,1
SINCLAIRVILLE,1
SMITH BRIDGE,1
SO. ROBERTS RD,1
SO. WASHINGTON ST.,1
SORRELL HILL,1
SOUTH RANDOLPH,1
SOUTH ST,1
SOUTH WELLSVILLE,1
SOUTHLAND,1
SOUTHWOOD,1
SPRINGFIELD,2
ST JOHNSVILLE,2
ST. REGIS,1
STAR LAKE,1
STARR RD.,1
STATE STREET,1
STATION 150,1
STATION 159,1
STATION 56,1
STEAMBURG,1
STILES,2
STITTVILLE,1
STONER,1
STOW,1
STUVESANT,1
SUMMIT,2
SUNDAY CREEK,1
SWAGGERTOWN RD,1
SYCAWAY,2
TEALL SUBSTATION,5
TEMPLE ST.,2
TERMINA,2
THIRD ST,1
THOUSAND ISLANDS,1
TIBBETS AVE,1
TRINITY,2
TRUXTON,2
TULLER HILL,1
TULLY CENTER,1
TURIN RD,1
UNION,1
UNION ST,1
UNIONVILLE,1
VAIL MILLS,2
VAL KIN,1
VALLEY,2
VALLEY SUBSTATION,3
VANDALIA,1
VOORHEESVILLE,1
W ALBION,2
W HAMLIN,1
W. OLEAN,2
WALESVILLE,1
WALMORE,1
WARRENSBURG,2
WATERPORT,1
WATT ST,1
WEAVER ST,1
WEIBEL,2
WELLS,1
WEST ADAMS,1
WEST CLEVELAND,1
WEST HERKIMER,1
WEST MONROE,1
WEST PORTLAND,1
WEST SALAMANCA,1
WEST VALLEY,1
WESTVALE,1
WESTVILLE,1
WETHERSFIELD STATION,1
WHITAKER,1
WHITE LAKE SUBSTATION,1
WHITEHALL,1
WHITESBORO,1
WILTON,1
WINE CREEK,1
WOLF RD.,2
WORCESTER,1
YAHNUNDASIS (1&2),3
YORK CENTER SUBSTATION,1
