zip,pop,state
92672,34110,06
92673,30927,06
92823,4721,06
92835,23867,06
92840,55186,06
92881,33996,06
92310,9086,06
92314,11361,06
92321,1166,06
92054,42173,06
93927,18778,06
93035,29404,06
93067,454,06
93203,22744,06
93060,34181,06
93065,72061,06
93066,3112,06
93105,27515,06
93208,47,06
93215,55269,06
93219,10167,06
93225,4816,06
91390,19053,06
91708,3892,06
91915,31740,06
92335,99284,06
92371,17882,06
92372,6282,06
92392,58204,06
92505,51322,06
92401,1929,06
92408,14434,06
92504,59556,06
92506,45854,06
92509,81214,06
92539,4703,06
92543,37615,06
92586,20032,06
92592,84418,06
92618,43316,06
92625,12148,06
92679,32579,06
92688,45178,06
92708,57416,06
92806,39719,06
92843,46036,06
92870,53582,06
92004,2414,06
92007,11234,06
92037,39724,06
92020,58742,06
92025,53772,06
92027,56811,06
92065,36309,06
94591,55334,06
94595,17938,06
94596,20822,06
94598,27780,06
94606,38303,06
94610,31496,06
94618,17041,06
94703,21937,06
94705,13365,06
94937,816,06
94940,234,06
94965,11408,06
90064,25429,06
90504,33721,06
90602,25981,06
90631,69502,06
90814,18587,06
90815,41026,06
90071,0,06
90230,32808,06
90249,26587,06
92309,633,06
92311,33612,06
92339,1185,06
92341,203,06
94558,69142,06
94564,19200,06
94015,64887,06
94027,7444,06
94038,3687,06
94041,14394,06
92066,572,06
92091,1343,06
92103,34878,06
92113,55623,06
92116,33767,06
92118,22484,06
92060,92,06
92075,12624,06
92083,39043,06
92084,51419,06
92104,45202,06
92325,8621,06
92333,316,06
92336,96575,06
92365,2792,06
92389,146,06
92398,2098,06
92606,24694,06
92802,42248,06
92501,21656,06
92508,39225,06
92518,1186,06
92705,46470,06
92883,35072,06
92536,3028,06
92557,52089,06
92571,56446,06
92582,16783,06
92584,51298,06
92064,49933,06
92069,51447,06
92086,1544,06
92126,82572,06
92130,55316,06
92236,45090,06
92256,3282,06
92283,1694,06
92328,354,06
92363,5407,06
92008,27330,06
92036,2221,06
90272,22551,06
90291,27525,06
90303,24693,06
90403,24354,06
90006,61698,06
90032,47627,06
90042,63911,06
90043,44627,06
90047,48883,06
95030,13288,06
95037,51652,06
95043,732,06
95045,4181,06
95050,39452,06
95066,15217,06
95120,37774,06
95123,67186,06
95225,470,06
95228,4501,06
95242,26235,06
95250,0,06
95258,3881,06
95301,38707,06
95324,8016,06
95330,21552,06
95346,1661,06
95365,4710,06
95380,42672,06
95385,440,06
95389,1392,06
95405,21448,06
95412,402,06
95431,196,06
95436,6352,06
95441,2053,06
95451,11627,06
95462,1265,06
95470,5719,06
95472,30762,06
95482,31847,06
95497,1161,06
95503,25503,06
95519,19099,06
95531,23470,06
95536,2898,06
95537,325,06
95559,72,06
95564,432,06
95607,327,06
95608,61860,06
95619,5674,06
95624,65742,06
95004,3956,06
95032,26281,06
95060,47367,06
92040,46261,06
92587,17468,06
92590,4388,06
92620,48952,06
92630,61304,06
92657,9670,06
92660,36906,06
92694,29064,06
92704,90340,06
92867,44628,06
92880,69720,06
92886,50545,06
92562,64116,06
90049,36964,06
90212,13156,06
90245,16850,06
90277,34506,06
90290,5371,06
90302,30828,06
90503,44908,06
94577,48088,06
94590,37377,06
95129,39828,06
95203,15775,06
95205,38544,06
95641,1548,06
95642,6826,06
95648,52394,06
95661,31327,06
95670,54648,06
95683,6279,06
95688,37227,06
95701,806,06
95715,91,06
95721,15,06
95736,198,06
95776,23375,06
95814,11340,06
95832,11518,06
95837,305,06
95612,1078,06
95614,3961,06
95636,1087,06
95675,607,06
95685,4711,06
95687,68069,06
95722,4822,06
95735,10,06
95747,65335,06
95820,35477,06
95827,21185,06
91384,28842,06
91405,55384,06
91505,30680,06
91607,30873,06
91701,40034,06
91722,35708,06
91748,47084,06
91761,61124,06
91773,34496,06
91784,25567,06
91905,1478,06
91910,74297,06
91304,53761,06
91324,29617,06
91335,80524,06
91342,96487,06
91343,66590,06
91105,12191,06
91016,41671,06
91108,13538,06
91204,18720,06
91303,31053,06
91306,49158,06
91331,105799,06
91604,32117,06
91608,0,06
91702,62348,06
91024,11006,06
91106,25375,06
91107,32364,06
91355,31455,06
91401,41412,06
91381,20371,06
91406,55215,06
91423,33737,06
91502,11598,06
91602,19358,06
91706,77342,06
91710,90582,06
91711,36854,06
91906,4351,06
91913,53072,06
91942,40205,06
91948,15,06
91962,2378,06
91978,10518,06
91001,37711,06
92354,21679,06
92377,19556,06
92507,57886,06
94599,3078,06
94074,197,06
94131,29902,06
94526,32539,06
94951,4571,06
94806,64410,06
94903,30048,06
94930,8678,06
94954,38414,06
93932,810,06
95903,1630,06
95916,1216,06
95941,497,06
95945,25519,06
95954,13495,06
95962,1278,06
95969,27967,06
92056,53845,06
95971,6254,06
95975,1584,06
95977,1617,06
95986,53,06
95002,2146,06
95006,9238,06
95019,7703,06
95119,10472,06
95127,65686,06
95128,37665,06
92548,8273,06
92551,33578,06
92553,75830,06
92567,10228,06
92570,60944,06
92604,28819,06
92646,55893,06
92662,2606,06
92677,66406,06
92804,88749,06
92821,37529,06
92860,26591,06
92866,15017,06
92879,46920,06
92337,38868,06
92342,6508,06
92345,80808,06
92346,61751,06
92347,843,06
92359,9056,06
92376,87027,06
92399,54163,06
92405,30511,06
92410,45641,06
92503,94512,06
92532,25475,06
92555,43957,06
92869,36913,06
92124,32170,06
92225,22149,06
92231,40019,06
92234,53961,06
92324,59409,06
92253,40368,06
92259,94,06
92262,28517,06
92273,1704,06
92275,2456,06
92284,26085,06
92285,2142,06
92332,92,06
92026,49921,06
95595,182,06
95621,41757,06
94702,17092,06
94704,29190,06
94707,11916,06
94904,12590,06
94014,49515,06
94020,1334,06
94028,6868,06
94040,35845,06
94102,31067,06
94111,3620,06
94010,42730,06
94044,39065,06
92358,782,06
92404,61216,06
92407,69222,06
92561,1278,06
92651,24746,06
92653,29986,06
92656,52124,06
92692,47576,06
92703,70595,06
92782,22704,06
92801,67053,06
92807,35777,06
92831,37353,06
92832,25134,06
92833,52922,06
92845,16600,06
92612,32362,06
92614,26676,06
92627,63212,06
92647,62718,06
92648,46890,06
92655,8415,06
92663,21572,06
92676,2154,06
92707,61026,06
92841,34061,06
92844,23878,06
92861,5872,06
92865,20741,06
92868,27693,06
92009,45827,06
92014,13863,06
92029,19149,06
92057,58347,06
95430,7,06
95452,970,06
95521,21462,06
95528,1493,06
95540,14305,06
95552,659,06
95560,1466,06
95606,240,06
95629,795,06
95633,3857,06
95637,227,06
95662,32006,06
95667,36620,06
95678,43132,06
95682,30141,06
95823,79272,06
95825,35825,06
95826,38256,06
95920,285,06
95925,209,06
95674,913,06
95659,861,06
95668,743,06
95669,2348,06
95717,106,06
95720,83,06
95828,60270,06
95830,902,06
95842,32269,06
95901,33442,06
95350,53098,06
95919,1182,06
95928,37558,06
95943,908,06
95957,888,06
95973,35445,06
95630,76973,06
95639,321,06
91766,72332,06
91767,50264,06
91770,63425,06
91776,38410,06
91911,85365,06
91941,32384,06
91963,999,06
91980,636,06
91367,45282,06
92106,19080,06
92108,22565,06
92109,48417,06
92121,4655,06
92128,51066,06
92227,27255,06
92249,7898,06
92257,1332,06
92264,19881,06
92277,23517,06
92301,33967,06
92315,5234,06
92105,72848,06
92107,31148,06
92061,2376,06
92082,18065,06
92102,44500,06
92131,34359,06
92203,30744,06
92239,274,06
92258,778,06
92268,597,06
