pop,state,zip
175,36,12741
2465,36,12583
11235,36,12549
2206,36,12578
6272,36,12582
17017,36,12589
15,36,13826
926,36,13469
79606,36,10453
38203,36,10454
42283,36,10455
83960,36,10458
17875,36,13790
2194,36,13797
4334,36,13849
189,36,13859
3962,36,13456
471,36,13468
1451,36,13630
37646,36,13501
9589,36,13603
3291,36,13668
434,36,13670
2878,36,13691
402,36,13693
3779,36,13748
758,36,13844
11315,36,13827
634,36,13841
543,36,13842
766,36,13863
2434,36,13040
1665,36,13054
2809,36,13060
27867,36,11001
8101,36,11024
30132,36,11050
76978,36,11204
74508,36,11218
81789,36,11223
46707,36,11224
93967,36,11373
18578,36,11030
27649,36,11967
2455,36,11977
22606,36,11762
24666,36,11776
8380,36,11789
4916,36,11804
893,36,11930
2004,36,11941
309,36,11962
13788,36,11702
34237,36,11710
28454,36,11530
33401,36,11566
7565,36,11705
6708,36,11709
22714,36,11714
32524,36,11722
29578,36,11725
29823,36,11727
13860,36,11730
68491,36,11746
723,36,11765
15783,36,11767
8706,36,11769
27486,36,11901
15884,36,11950
4841,36,11952
63054,36,11717
3069,36,11718
16545,36,11733
12566,36,11742
12596,36,11753
43099,36,11756
29018,36,11763
12414,36,11766
9500,36,11771
11641,36,11778
36492,36,11222
76819,36,11233
78128,36,11235
20801,36,11426
24037,36,11427
522,36,11042
895,36,13071
6475,36,13073
4078,36,13074
1105,36,13081
14781,36,13219
3734,36,13084
8483,36,10579
407,36,13136
8685,36,13214
6396,36,13339
2279,36,13363
362,36,13638
3118,36,13667
990,36,13788
2520,36,13685
12985,36,13815
110,36,13020
1723,36,13024
299,36,13051
161,36,13064
66,36,13087
32,36,13102
287,36,13103
304,36,13113
185,36,13115
264,36,13117
511,36,13123
208,36,13134
0,36,13138
382,36,13153
552,36,13157
560,36,13162
473,36,13163
12099,36,11576
43714,36,11580
13715,36,11598
68773,36,11706
44115,36,11757
12723,36,11764
57,36,11770
16228,36,11788
26121,36,11791
3826,36,11796
4597,36,11942
511,36,11947
45263,36,11003
18185,36,11021
36140,36,11103
67809,36,11209
92946,36,11214
95643,36,11220
89075,36,11230
30043,36,11101
46064,36,11205
1562,36,14055
10144,36,14059
5779,36,14837
1786,36,14838
1074,36,14855
80853,36,11355
86421,36,11377
37279,36,11378
20759,36,11411
27125,36,11416
31400,36,11423
27722,36,11570
12808,36,11577
46560,36,11590
40285,36,11704
9710,36,11713
3604,36,11719
3160,36,11724
27149,36,11741
9564,36,11752
12510,36,11755
15753,36,11780
8737,36,11797
15984,36,11937
14863,36,11949
41877,36,11040
37382,36,11105
38363,36,11106
83615,36,11229
95666,36,11234
39902,36,11357
41824,36,11367
34118,36,11369
19372,36,11415
38517,36,11418
41002,36,11421
62053,36,11432
4832,36,11715
9957,36,11716
6086,36,11721
30357,36,11731
8951,36,11777
21265,36,11783
6111,36,11786
34099,36,11787
1563,36,13618
469,36,13621
2344,36,13622
4049,36,13634
1687,36,13650
1441,36,13694
4861,36,13733
3576,36,13743
43350,36,13760
1769,36,13775
4240,36,13803
353,36,13804
1546,36,13809
1114,36,13810
4313,36,13811
6009,36,13856
9948,36,13904
1247,36,13607
2229,36,13616
4057,36,13637
703,36,13665
1460,36,13680
885,36,13681
503,36,13687
2028,36,13734
1318,36,13757
21997,36,13820
663,36,13832
1276,36,13835
1072,36,13839
547,36,13740
2665,36,13783
1413,36,13801
332,36,13633
2030,36,13646
2298,36,13648
1368,36,13661
2153,36,13736
796,36,13739
919,36,13750
5557,36,13778
665,36,13782
4284,36,13838
1011,36,13864
7243,36,13029
12057,36,13032
5160,36,13068
3329,36,13080
21986,36,13088
1843,36,13112
