pop,state,zip
51447,06,92069
1544,06,92086
82572,06,92126
55316,06,92130
45090,06,92236
3282,06,92256
1694,06,92283
354,06,92328
5407,06,92363
27330,06,92008
2221,06,92036
22551,06,90272
27525,06,90291
24693,06,90303
24354,06,90403
61698,06,90006
47627,06,90032
63911,06,90042
44627,06,90043
48883,06,90047
13288,06,95030
51652,06,95037
732,06,95043
4181,06,95045
39452,06,95050
15217,06,95066
37774,06,95120
67186,06,95123
470,06,95225
4501,06,95228
26235,06,95242
0,06,95250
3881,06,95258
38707,06,95301
8016,06,95324
21552,06,95330
1661,06,95346
4710,06,95365
42672,06,95380
440,06,95385
1392,06,95389
21448,06,95405
402,06,95412
196,06,95431
6352,06,95436
2053,06,95441
11627,06,95451
1265,06,95462
5719,06,95470
30762,06,95472
31847,06,95482
1161,06,95497
25503,06,95503
19099,06,95519
23470,06,95531
2898,06,95536
325,06,95537
72,06,95559
432,06,95564
327,06,95607
61860,06,95608
5674,06,95619
65742,06,95624
3956,06,95004
26281,06,95032
47367,06,95060
46261,06,92040
17468,06,92587
4388,06,92590
48952,06,92620
61304,06,92630
9670,06,92657
36906,06,92660
29064,06,92694
90340,06,92704
44628,06,92867
69720,06,92880
50545,06,92886
64116,06,92562
36964,06,90049
13156,06,90212
16850,06,90245
34506,06,90277
5371,06,90290
30828,06,90302
44908,06,90503
48088,06,94577
37377,06,94590
39828,06,95129
15775,06,95203
38544,06,95205
1548,06,95641
6826,06,95642
52394,06,95648
31327,06,95661
54648,06,95670
6279,06,95683
37227,06,95688
806,06,95701
91,06,95715
15,06,95721
198,06,95736
23375,06,95776
11340,06,95814
11518,06,95832
305,06,95837
1078,06,95612
3961,06,95614
1087,06,95636
607,06,95675
4711,06,95685
68069,06,95687
4822,06,95722
10,06,95735
65335,06,95747
35477,06,95820
21185,06,95827
28842,06,91384
55384,06,91405
30680,06,91505
30873,06,91607
40034,06,91701
35708,06,91722
47084,06,91748
61124,06,91761
34496,06,91773
25567,06,91784
1478,06,91905
74297,06,91910
53761,06,91304
29617,06,91324
80524,06,91335
96487,06,91342
66590,06,91343
12191,06,91105
41671,06,91016
13538,06,91108
18720,06,91204
31053,06,91303
49158,06,91306
105799,06,91331
32117,06,91604
0,06,91608
62348,06,91702
11006,06,91024
25375,06,91106
32364,06,91107
31455,06,91355
41412,06,91401
20371,06,91381
55215,06,91406
33737,06,91423
11598,06,91502
19358,06,91602
77342,06,91706
90582,06,91710
36854,06,91711
4351,06,91906
53072,06,91913
40205,06,91942
15,06,91948
2378,06,91962
10518,06,91978
37711,06,91001
21679,06,92354
19556,06,92377
57886,06,92507
3078,06,94599
197,06,94074
29902,06,94131
32539,06,94526
4571,06,94951
64410,06,94806
30048,06,94903
8678,06,94930
38414,06,94954
810,06,93932
1630,06,95903
1216,06,95916
497,06,95941
25519,06,95945
13495,06,95954
1278,06,95962
27967,06,95969
53845,06,92056
6254,06,95971
1584,06,95975
1617,06,95977
53,06,95986
2146,06,95002
9238,06,95006
7703,06,95019
10472,06,95119
65686,06,95127
37665,06,95128
8273,06,92548
33578,06,92551
75830,06,92553
10228,06,92567
60944,06,92570
28819,06,92604
55893,06,92646
2606,06,92662
66406,06,92677
88749,06,92804
37529,06,92821
26591,06,92860
15017,06,92866
46920,06,92879
38868,06,92337
6508,06,92342
80808,06,92345
61751,06,92346
843,06,92347
9056,06,92359
87027,06,92376
54163,06,92399
30511,06,92405
45641,06,92410
94512,06,92503
25475,06,92532
43957,06,92555
36913,06,92869
32170,06,92124
22149,06,92225
40019,06,92231
53961,06,92234
59409,06,92324
40368,06,92253
94,06,92259
28517,06,92262
1704,06,92273
2456,06,92275
26085,06,92284
2142,06,92285
92,06,92332
49921,06,92026
182,06,95595
41757,06,95621
17092,06,94702
29190,06,94704
11916,06,94707
12590,06,94904
49515,06,94014
1334,06,94020
6868,06,94028
35845,06,94040
31067,06,94102
3620,06,94111
42730,06,94010
39065,06,94044
782,06,92358
61216,06,92404
69222,06,92407
1278,06,92561
24746,06,92651
29986,06,92653
52124,06,92656
47576,06,92692
70595,06,92703
22704,06,92782
67053,06,92801
35777,06,92807
37353,06,92831
25134,06,92832
52922,06,92833
16600,06,92845
32362,06,92612
26676,06,92614
63212,06,92627
62718,06,92647
46890,06,92648
8415,06,92655
21572,06,92663
2154,06,92676
61026,06,92707
34061,06,92841
23878,06,92844
5872,06,92861
20741,06,92865
27693,06,92868
45827,06,92009
13863,06,92014
19149,06,92029
58347,06,92057
7,06,95430
970,06,95452
21462,06,95521
1493,06,95528
14305,06,95540
659,06,95552
1466,06,95560
240,06,95606
795,06,95629
3857,06,95633
227,06,95637
32006,06,95662
36620,06,95667
43132,06,95678
30141,06,95682
79272,06,95823
35825,06,95825
38256,06,95826
285,06,95920
209,06,95925
913,06,95674
861,06,95659
743,06,95668
2348,06,95669
106,06,95717
83,06,95720
60270,06,95828
902,06,95830
32269,06,95842
33442,06,95901
53098,06,95350
1182,06,95919
37558,06,95928
908,06,95943
888,06,95957
35445,06,95973
76973,06,95630
321,06,95639
72332,06,91766
50264,06,91767
63425,06,91770
38410,06,91776
85365,06,91911
32384,06,91941
999,06,91963
636,06,91980
45282,06,91367
19080,06,92106
22565,06,92108
48417,06,92109
4655,06,92121
51066,06,92128
27255,06,92227
7898,06,92249
1332,06,92257
19881,06,92264
23517,06,92277
33967,06,92301
5234,06,92315
72848,06,92105
31148,06,92107
2376,06,92061
18065,06,92082
44500,06,92102
34359,06,92131
30744,06,92203
274,06,92239
778,06,92258
597,06,92268
2859,06,92281
5729,06,92352
1100,06,92368
33264,06,92373
43633,06,92374
671,06,94933
32013,06,94941
288,06,94971
23,06,94972
1134,06,94924
12797,06,94920
17452,06,94949
1224,06,94956
27202,06,94002
29689,06,94107
56677,06,94109
35004,06,94115
35363,06,94124
3064,06,94130
26527,06,94133
14619,06,94502
15646,06,94507
1461,06,94514
35096,06,94523
52802,06,94539
79235,06,94544
4692,06,94005
20314,06,94019
23961,06,94024
18025,06,93210
1938,06,93243
16088,06,93250
76923,06,93257
63,06,93262
6513,06,93615
8889,06,93620
10395,06,93622
344,06,93645
3477,06,93650
313,06,93512
2335,06,93516
3700,06,93523
1618,06,93527
388,06,93531
39088,06,93534
1781,06,93553
64,06,93554
952,06,93666
3759,06,93675
7611,06,93721
83179,06,93722
27805,06,93901
1403,06,93920
15595,06,93950
1520,06,93239
16834,06,93241
556,06,93255
5939,06,93256
27698,06,93280
12028,06,93301
3379,06,93437
7383,06,93445
10976,06,93442
20775,06,93444
2953,06,93453
8025,06,93463
14412,06,93514
508,06,93529
226,06,93541
264,06,93549
1723,06,93562
17964,06,93268
2432,06,93271
472,06,93954
34395,06,93955
26610,06,93960
117,06,95514
71,06,95550
2066,06,95567
18063,06,95602
29244,06,95603
41121,06,95628
47887,06,90065
44143,06,90241
11512,06,90248
27454,06,90270
42421,06,90275
15397,06,90305
7256,06,90401
11866,06,90402
22819,06,90404
16578,06,90670
56821,06,90745
42817,06,90806
59000,06,90813
58975,06,90001
35913,06,90012
55652,06,90034
27646,06,90061
59394,06,90066
49383,06,90638
31063,06,90712
39344,06,90804
32067,06,90807
38579,06,90810
42335,06,90501
63380,06,90660
3922,06,90704
22389,06,90720
54776,06,90723
32389,06,90803
65890,06,90022
66245,06,90019
30734,06,90028
74413,06,92805
30573,06,92596
61660,06,92780
16131,06,92010
24382,06,92011
12120,06,92055
45894,06,92058
29405,06,92081
0,06,92132
280,06,92134
646,06,92135
3669,06,92140
2389,06,92145
551,06,92147
490,06,92155
0,06,92222
686,06,92322
22710,06,94030
2692,06,94037
28735,06,94103
546,06,94104
21423,06,94127
135,06,94128
3994,06,94129
63843,06,94501
3094,06,94525
29639,06,94549
46276,06,94560
54420,06,94568
24308,06,94619
41510,06,94804
9866,06,94925
2140,06,92386
4571,06,92397
2464,06,92549
68128,06,92563
41107,06,92591
14149,06,92610
6402,06,92624
26744,06,92629
34406,06,92649
53565,06,92701
37457,06,92675
91376,06,92683
3445,06,95634
76,06,95646
14059,06,95650
1589,06,95664
15753,06,95673
3384,06,95684
385,06,93962
4454,06,93272
53702,06,93308
65016,06,90037
29516,06,90041
22892,06,90048
49492,06,90057
2314,06,90067
20982,06,90068
20435,06,90069
19909,06,90210
52322,06,90221
14660,06,90232
26205,06,90240
47531,06,90247
25279,06,90274
12694,06,90293
37291,06,90301
33012,06,91006
20423,06,91011
23619,06,91201
26634,06,91302
18558,06,91901
20138,06,91902
267,06,91934
16357,06,91914
1962,06,91916
26701,06,91932
8332,06,91935
62639,06,91950
18188,06,90502
21299,06,90603
42063,06,90604
