,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
223,EAST NORFOLK,-8347291.039,5589912.069,Central,Norfolk,0.0,1.0,2.0,3.0,['23/4.8'],['1'],3.0,1377.0,1972-01-01,23.0,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
224,EAST OTTO,,,West,East Otto,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,906.0,1958-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
225,EAST PULASKI,-8471857.167,5395580.731,Central,Richland,1.0,0.0,2.0,1.0,['115/13.8'],['7.5/9.4'],3.0,3744.0,1988-01-01,115.0,13.8,0.0,7.5,9.4,0.0,0.0,0.0,True,,
226,EAST SCHODACK,-8197314.438,5245554.538,East,Schodack,0.0,1.0,1.0,1.0,['34.5/4.8'],['3.75/4.687'],2.0,550.0,1991-01-01,34.5,4.8,0.0,3.75,4.687,0.0,0.0,0.0,True,,
227,EAST SPRINGFIELD,-8327065.149,5286042.382,East,Springfield,2.0,0.0,1.0,1.0,['115/13.8'],['6/7.5'],3.0,1105.0,2005-11-13,115.0,13.8,0.0,6.0,7.5,0.0,0.0,0.0,True,,
228,EAST SYRACUSE,,,Central,Dewitt,0.0,1.0,4.0,1.0,['34.5/4.16'],['5/6.3'],5.0,2008.0,1959-01-01,34.5,4.16,0.0,5.0,6.3,0.0,0.0,0.0,True,,
229,EAST WATERTOWN,-8444086.433,5455964.298,Central,Watertown,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,6630.0,1973-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
230,EAST WORCESTER,-8312366.709,5254224.434,East,Worcester,0.0,1.0,1.0,1.0,['34.5/13.8/4.8'],['5'],2.0,756.0,1993-01-01,34.5,13.8,4.8,5.0,0.0,0.0,0.0,0.0,True,,
231,EDEN CENTER,-8783218.63,5258752.323,West,Eden,0.0,1.0,2.0,1.0,"['34.5/4.8', '345/120/13.8', '345/230/13.2']","['3.75', '340/443', '400/448']",3.0,1859.0,1960-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.0928,2.0
232,EDWARDS,-8376382.943,5516734.488,Central,Edwards,0.0,1.0,1.0,1.0,['34.5/4.8'],['1/1.15'],2.0,664.0,1957-01-01,34.5,4.8,0.0,1.0,1.15,0.0,0.0,0.0,True,,
233,EFFLEY FALLS,,,Central,Croghan,7.0,5.0,0.0,1.0,['115/23'],['20/26.7/33.3'],12.0,38.0,1993-01-01,115.0,23.0,0.0,20.0,26.7,33.3,0.0,0.0,True,,
234,ELBA STATION,-8703680.485,5322917.028,West,Elba,0.0,2.0,1.0,2.0,['34.5/4.8'],['1.5'],3.0,938.0,1952-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,1.8192000000000002,1.0
235,ELLICOTT,,,West,Ellicott,0.0,2.0,1.0,1.0,['34.5/4.8'],['2.5/3.13'],3.0,770.0,1975-01-01,34.5,4.8,0.0,2.5,3.13,0.0,0.0,0.0,True,,
236,ELM STREET,,,Central,Malone,0.0,2.0,2.0,2.0,"['34.4/4.8', '34.5/4.8']",['1.67/1.92'],4.0,1725.0,1963-10-01,34.4,4.8,0.0,1.67,1.92,0.0,0.0,0.0,True,,
237,ELNORA,-8219604.361,5295480.822,East,Clifton Park,1.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],5.0,5469.0,2000-09-29,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
238,ELSMERE,-8216427.307,5255476.43,East,Bethlehem,0.0,1.0,2.0,1.0,['34.5/4.8'],['7.5/9.375'],3.0,1312.0,1971-01-01,34.5,4.8,0.0,7.5,9.375,0.0,0.0,0.0,True,,
239,EMMET,-8230314.865,5282432.814,East,Schenectady,0.0,3.0,6.0,1.0,['34.5/4.16'],"['3/3.65', '3/6.25']",9.0,3699.0,1954-01-01,34.5,4.16,0.0,3.0,3.65,0.0,0.0,0.0,True,,
240,EPHRATAH,-8297418.856,5313448.506,East,Ephratah,2.0,1.0,2.0,1.0,"['69/23/13.2', '69/4.8']","['1.67', '5']",5.0,944.0,2007-10-01,69.0,23.0,13.2,5.0,0.0,0.0,0.0,0.0,True,,
241,EUCLID,-8484498.518,5339857.958,Central,Clay,2.0,0.0,6.0,2.0,['115/13.8'],['20/26.7/33.3'],8.0,10360.0,1988-07-11,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,17.300843999999998,6.0
242,EVERETT RD,-8211943.377,5265699.462,East,Colonie,1.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],5.0,4706.0,1990-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
243,FABIUS,-8459548.098,5287656.272,Central,Fabius,0.0,2.0,1.0,1.0,"['34.4/4.8', '34.5/4.8']",['0.83'],3.0,476.0,1959-01-01,34.4,4.8,0.0,0.83,0.0,0.0,0.0,0.0,True,0.5408160000000001,1.0
244,FAIRDALE,-8521261.54,5361662.517,Central,Hannibal,0.0,1.0,2.0,1.0,['34.5/4.8'],['2.5/3.125'],3.0,1578.0,1956-01-01,34.5,4.8,0.0,2.5,3.125,0.0,0.0,0.0,True,,
245,FARMERSVILLE,,,West,Farmersville,0.0,1.0,2.0,3.0,['34.5/4.8'],['0.833'],3.0,1071.0,1966-01-01,34.5,4.8,0.0,0.833,0.0,0.0,0.0,0.0,True,1.1840159999999997,2.0
246,FARNAN RD MINI,,,East,Moreau,0.0,1.0,1.0,1.0,['34.5/13.8'],['0.5'],2.0,1025.0,1992-10-01,34.5,13.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
247,FAYETTE STREET,-8478803.467,5319082.942,Central,Syracuse,0.0,4.0,13.0,2.0,['34.5/4.16'],['12/16/20'],17.0,7041.0,1967-01-01,34.5,4.16,0.0,12.0,16.0,20.0,0.0,0.0,True,6.023680000000001,8.0
248,FINDLEY LAKE,,,West,Mina,0.0,1.0,2.0,1.0,['34.5/4.8'],['2.5'],3.0,992.0,1969-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
249,FINE,-8363729.763,5504213.628,Central,Fine,0.0,1.0,1.0,1.0,['34.5/4.8'],['1'],2.0,402.0,1952-01-01,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
250,FIREHOUSE,-8209990.597,5285093.622,East,Halfmoon,2.0,0.0,2.0,1.0,['115/13.8'],['15/20/25'],4.0,4492.0,1991-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
251,FISHER,-8481213.875,5253797.483,Central,Cortlandville,0.0,1.0,2.0,1.0,['34.5/13.8'],['5/6.25'],3.0,2439.0,1972-01-01,34.5,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
252,FLORIDA,,,East,Florida,1.0,0.0,2.0,1.0,['69/13.2'],['11.2/14'],3.0,2538.0,2011-12-16,69.0,13.2,0.0,11.2,14.0,0.0,0.0,0.0,True,,
253,FLY RD,-8466678.783,5324986.591,Central,Dewitt,2.0,0.0,4.0,1.0,['115/13.8'],['20/26.67/33.33'],6.0,3756.0,2008-03-01,115.0,13.8,0.0,20.0,26.67,33.33,0.0,0.0,True,13.543199999999999,4.0
254,FORT GAGE,-8205496.579,5374364.375,East,Lake George,0.0,2.0,1.0,1.0,['34.4/13.8'],['5/5.6/7'],3.0,2088.0,1968-02-01,34.4,13.8,0.0,5.0,5.6,7.0,0.0,0.0,True,,
255,FORTS FERRY,-8211817.94,5276079.235,East,Colonie,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,2146.0,2006-03-30,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
256,FRANKFORT,-8355842.922,5317627.612,Central,Frankfort,0.0,1.0,2.0,1.0,['46/4.16'],['3.75/4.68'],3.0,773.0,1968-01-01,46.0,4.16,0.0,3.75,4.68,0.0,0.0,0.0,True,,
257,FRANKLIN,-8234607.461,5533304.401,Central,Franklin,0.0,2.0,0.0,1.0,['46/4.8'],['0.25'],2.0,184.0,1992-01-01,46.0,4.8,0.0,0.25,0.0,0.0,0.0,0.0,True,,
258,FRANKLINVILLE,,,West,Franklinville,0.0,2.0,3.0,1.0,['34.4/5.04'],['3.75/4.69'],5.0,2548.0,2004-09-02,34.4,5.04,0.0,3.75,4.69,0.0,0.0,0.0,True,,
259,FRENCH MOUNTAIN,-8203741.666,5368367.561,East,Queensbury,0.0,1.0,1.0,1.0,['34.5/13.8'],['5'],2.0,598.0,2006-06-02,34.5,13.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
260,FREWSBURG,,,West,Carroll,0.0,2.0,3.0,1.0,['34.5/4.8'],['5.6/7.0'],5.0,2069.0,1985-01-01,34.5,4.8,0.0,5.6,7.0,0.0,0.0,0.0,True,,
261,FRONT ST,-8231117.439,5284816.509,East,Schenectady,2.0,0.0,10.0,1.0,['115/13.8'],"['24/35.8/44.8', '26.9/35.8/44.8']",12.0,6666.0,1992-01-01,115.0,13.8,0.0,24.0,35.8,44.8,0.0,0.0,True,11.035332,6.0
262,FT. COVINGTON,-8292485.397,5618872.385,Central,Fort Covington,0.0,1.0,1.0,1.0,['34.4/13.8'],['5/6.25'],2.0,1066.0,1969-01-01,34.4,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
263,GABRIELS,-8258262.277,5532533.177,Central,Brighton,1.0,2.0,1.0,1.0,['46/4.8'],['1.28'],4.0,639.0,1991-01-01,46.0,4.8,0.0,1.28,0.0,0.0,0.0,0.0,True,,
264,GALEVILLE,,,Central,Salina,0.0,1.0,3.0,1.0,['34.5/4.16'],['5'],4.0,1713.0,1959-01-01,34.5,4.16,0.0,5.0,0.0,0.0,0.0,0.0,True,3.4389472000000003,3.0
265,GASPORT,-8747195.427,5343521.084,West,Royalton,0.0,2.0,2.0,1.0,['34.5/5.04'],['3.75/4.68'],4.0,1711.0,2005-05-01,34.5,5.04,0.0,3.75,4.68,0.0,0.0,0.0,True,2.856,2.0
266,GENESEE ST.,-8208612.578,5261836.816,East,Albany,0.0,2.0,6.0,2.0,['34.5/4.16'],['5/6.25'],8.0,1653.0,1991-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
267,GENESEO,-8655436.229,5280114.513,West,Geneseo,0.0,2.0,2.0,1.0,['34.5/13.8'],['3.75'],4.0,815.0,1973-01-01,34.5,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.142756,2.0
268,GILBERT MILLS,-8487955.247,5358661.537,Central,Schroeppel,2.0,0.0,2.0,1.0,['115/13.8'],['7.5/9.4'],4.0,4392.0,1968-01-01,115.0,13.8,0.0,7.5,9.4,0.0,0.0,0.0,True,7.119287999999999,3.0
269,GILMANTOWN,-8276028.328,5387138.788,East,Lake Pleasant,0.0,1.0,2.0,1.0,['23/13.8'],['0.5'],3.0,2112.0,1995-11-02,23.0,13.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
270,GILPIN BAY,-8276411.411,5509275.729,Central,Santa Clara,1.0,1.0,1.0,1.0,['46/4.8'],['5'],3.0,939.0,1989-01-01,46.0,4.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
271,GLENS FALLS,,,East,Glens Falls,0.0,6.0,4.0,1.0,"['34.5/4.16', '34.5/4.8']","['2.83/3.2', '3.75']",10.0,994.0,1998-01-01,34.5,4.16,0.0,2.83,3.2,0.0,0.0,0.0,True,2.4100128,2.0
272,GLENWOOD,-8480153.791,5315311.081,Central,Syracuse,0.0,1.0,3.0,1.0,['34.5/4.16'],['5/6.25'],4.0,2779.0,1960-09-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
273,GLOVERSVILLE,-8275980.109,5321387.157,East,Gloversville,0.0,2.0,8.0,1.0,"['69/13.8', '69/4.16/13.2']","['15/20/25', '8.4/10.5']",10.0,7932.0,1996-01-01,69.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
274,GRANBY CENTER,-8512331.045,5362070.399,Central,Granby,0.0,1.0,1.0,1.0,['34.5/13.8'],['5/6.25'],2.0,2184.0,1974-01-01,34.5,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
275,GRAND ST.,-8291073.962,5262029.939,East,Cobleskill,1.0,0.0,2.0,1.0,['69/13.8'],['5'],3.0,1789.0,1987-01-01,69.0,13.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
276,GREENBUSH,-8205897.468,5252159.948,East,East Greenbush,7.0,5.0,7.0,1.0,"['113/13.8', '115/13.8', '115/34.5/13.8']","['18/24/30', '20/26/33', '30/40/50']",19.0,8595.0,1970-04-04,113.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,
277,GREENHURST,,,West,Ellery,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,832.0,1989-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
278,GROOMS,-8218570.016,5286862.497,East,Clifton Park,2.0,0.0,6.0,2.0,['115/13.8'],['20.2/26.9/33.6'],8.0,12907.0,1974-01-01,115.0,13.8,0.0,20.2,26.9,33.6,0.0,0.0,True,,
279,GROVELAND,-8656856.603,5260932.648,West,Groveland,0.0,1.0,1.0,1.0,['34.5/4.8'],['0.75'],2.0,174.0,2002-11-12,34.5,4.8,0.0,0.75,0.0,0.0,0.0,0.0,True,0.200016,1.0
280,HAGUE,-8175971.032,5441573.847,East,Ticonderoga,2.0,0.0,4.0,1.0,['115/13.8'],['13.4/17.9/22.4'],6.0,5038.0,1974-07-01,115.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,,
281,HAMMOND,-8426011.25,5535305.637,Central,Hammond,0.0,1.0,2.0,1.0,['23/4.8'],['3.75/5.25'],3.0,1607.0,1996-01-01,23.0,4.8,0.0,3.75,5.25,0.0,0.0,0.0,True,,
282,HANCOCK,-8473701.451,5327102.802,Central,Salina,0.0,2.0,3.0,2.0,['34.5/4.16'],"['1.25', '1.67']",5.0,1154.0,1953-01-01,34.5,4.16,0.0,1.25,0.0,0.0,0.0,0.0,True,1.6931200000000002,2.0
283,HANCOCK #2,-8473811.092,5327126.286,,,,,,,[],[],,,,,,,,,,,,,1.8215999999999999,1.0
284,HARRIS ROAD,-8485903.32,5314597.337,Central,Onondaga,1.0,4.0,5.0,1.0,"['115/13.8', '115/34.5']","['20/26.7', '20/26.7/33.3']",10.0,8631.0,2007-08-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,23.161512,7.0
285,HARTFIELD,,,West,Chautauqua,1.0,0.0,2.0,1.0,"['113/13.8', '115/34.5']","['15/20', '7.5/9.4']",3.0,1529.0,1956-06-12,113.0,13.8,0.0,7.5,9.4,0.0,0.0,0.0,True,,
286,HEMLOCK,-8639353.726,5280674.133,West,Livonia,0.0,1.0,1.0,1.0,['34.5/13.8'],['3.75/4.2/4.68/5'],2.0,657.0,1992-01-01,34.5,13.8,0.0,3.75,4.2,4.68,5.0,0.0,True,1.584,1.0
287,HEMSTREET,-8194287.325,5297927.596,East,Schaghticoke,1.0,0.0,2.0,1.0,['115/13.8'],['10/12.5'],3.0,2718.0,1996-01-01,115.0,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
288,HENRY STREET,-8198047.485,5358459.421,East,Glens Falls,0.0,2.0,6.0,2.0,['34.5/4.16'],['5/6.25'],8.0,3356.0,1998-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,0.37161279999999997,1.0
289,HIGLEY,-8341524.951,5547875.201,Central,Colton,1.0,0.0,2.0,1.0,['115/13.8'],['5/5.6/7.0'],3.0,2709.0,1975-01-01,115.0,13.8,0.0,5.0,5.6,7.0,0.0,0.0,True,,
290,HILL ST.,-8276989.241,5317607.914,East,Gloversville,0.0,2.0,6.0,1.0,['69/4.16'],['10/12.5'],8.0,2930.0,1999-01-01,69.0,4.16,0.0,10.0,12.5,0.0,0.0,0.0,True,,
291,HINSDALE,-8490029.728,5319008.042,Central,Camillus,0.0,1.0,4.0,1.0,['34.5/4.16'],['5/6.25'],5.0,1922.0,2001-08-31,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,3.9936,4.0
292,HOAG,-8183599.196,5247311.445,East,Nassau,0.0,2.0,3.0,3.0,['34.5/4.8'],['0.667'],5.0,1030.0,1948-01-01,34.5,4.8,0.0,0.667,0.0,0.0,0.0,0.0,True,,
293,HOMER,-8479887.672,5256855.543,Central,Homer,0.0,1.0,3.0,1.0,['34.5/4.8'],"['2.5/2.875', '2.5/3.13']",4.0,1391.0,1953-01-01,34.5,4.8,0.0,2.5,2.875,0.0,0.0,0.0,True,,
294,HOOSICK,-8166109.932,5298600.525,East,Hoosick,1.0,2.0,2.0,1.0,"['115/13.8', '115/34.5/13.8']","['6.7/8.3', '7.5/8.4/10.5']",5.0,3508.0,1973-09-17,115.0,13.8,0.0,7.5,8.4,10.5,0.0,0.0,True,,
295,HOPKINS,-8479540.717,5328654.857,Central,Salina,2.0,0.0,8.0,1.0,['115/13.8'],"['18/24/36', '20/26.67/33.33']",10.0,10235.0,2012-10-02,115.0,13.8,0.0,18.0,24.0,36.0,0.0,0.0,True,24.2616,7.0
296,HUDSON,,,East,Greenport,2.0,1.0,6.0,1.0,"['115/13.8', '115/13.8/7.97', '115/34.5/4.1']","['12/16/20/22.4', '20/26/33', '30/40/50']",9.0,9659.0,1968-01-24,115.0,13.8,0.0,12.0,16.0,20.0,22.4,0.0,True,,
297,HUDSON FALLS,-8192225.23,5355675.774,East,Fort Edward,0.0,3.0,1.0,1.0,['34.5/13.8'],['5'],4.0,1631.0,1994-01-01,34.5,13.8,0.0,5.0,0.0,0.0,0.0,0.0,True,,
298,INDIAN LAKE,-8267063.233,5431139.327,East,Indian Lake,0.0,1.0,2.0,3.0,['34.5/4.8'],['1/1.25'],3.0,1657.0,1989-01-01,34.5,4.8,0.0,1.0,1.25,0.0,0.0,0.0,True,,
299,INDIAN RIVER,-8440559.66,5477050.722,Central,Leray,1.0,1.0,3.0,1.0,"['115/13.8', '115/23']","['15/25', '25']",5.0,5830.0,1988-09-01,115.0,13.8,0.0,25.0,0.0,0.0,0.0,0.0,True,,
300,INGHAMS,-8322644.163,5321156.643,East,Manheim,6.0,3.0,1.0,1.0,"['115', '115/13.8', '115/46']","['155.9', '20/26.7/33.3', '7.5/9.375/10.5']",10.0,1236.0,2003-09-18,115.0,0.0,0.0,155.9,0.0,0.0,0.0,0.0,True,,
301,INMAN RD,-8222625.566,5279963.051,East,Niskayuna,2.0,0.0,8.0,1.0,['115/13.8'],"['18/24/30', '20/26.6/33.3']",10.0,6174.0,2011-10-27,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,
302,JEWETT,-8508693.884,5306881.951,Central,Skaneateles,0.0,2.0,3.0,1.0,['34.5/13.8'],['10/12.5'],5.0,2239.0,2004-01-01,34.5,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,5.878487999999999,3.0
303,JOHNSON,-8209064.173,5276239.269,East,Colonie,2.0,0.0,6.0,1.0,"['113/13.8', '115/13.8']",['12/16/20'],8.0,7333.0,1969-04-29,113.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
304,JOHNSTOWN,-8279480.966,5314285.296,East,Johnstown,0.0,2.0,7.0,1.0,"['69/4.16', '69/4.16/4.8']","['10/12.5', '5/5.6']",9.0,3348.0,2001-12-26,69.0,4.16,0.0,5.0,5.6,0.0,0.0,0.0,True,,
305,JUNIPER,-8220841.385,5252104.206,East,Bethlehem,0.0,1.0,1.0,1.0,['34.5/13.8'],['3.75/4.687'],2.0,653.0,1993-01-01,34.5,13.8,0.0,3.75,4.687,0.0,0.0,0.0,True,1.848,1.0
306,KARNER,-8219538.314,5269478.168,East,Colonie,0.0,2.0,6.0,2.0,['34.5/4.16'],['5/6.25'],8.0,2427.0,1959-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
307,KNAPP RD,-8735293.141,5313881.892,West,Newstead,2.0,0.0,3.0,1.0,['115/13.8'],['15/20/25'],5.0,3944.0,2004-08-27,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,10.309332,3.0
308,KNIGHTS CREEK,,,West,Scio,0.0,2.0,2.0,1.0,['34.5/4.8'],['1.5'],4.0,1100.0,1959-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,,
309,LABRADOR,-8463167.36,5269947.998,Central,Truxton,1.0,1.0,1.0,1.0,"['115/34.5', '34.5/13.8']","['1.5', '7.5']",3.0,66.0,1983-01-01,115.0,34.5,0.0,7.5,0.0,0.0,0.0,0.0,True,0.1848,1.0
310,LAKE COLBY SUBSTATION,,,Central,St. Armand,2.0,2.0,2.0,1.0,"['115/13.8', '115/15', '115/46']","['13.4/17.9/22.4', '18/24/26.9/33.6', '20.2/26.9/33.6', '49/66/82']",6.0,3207.0,1976-05-04,115.0,13.8,0.0,13.4,17.9,22.4,0.0,0.0,True,,
311,LAKE RD,-8506021.103,5390809.16,Central,Scriba,1.0,0.0,2.0,1.0,['115/13.8'],['12/16/20'],3.0,766.0,1976-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
312,LAKEVIEW,-8787777.431,5268126.267,West,Hamburg,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,5057.0,2005-03-30,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,7.849512,4.0
313,LAKEVILLE,-8651250.065,5286795.01,West,Geneseo,0.0,0.0,0.0,1.0,['115/34.5'],['25/33.3/41.7'],0.0,1475.0,1970-01-01,115.0,34.5,0.0,25.0,33.3,41.7,0.0,0.0,True,2.422416,2.0
314,LAKEVILLE SUBSTATION NO. 40,,,West,Geneseo,0.0,5.0,6.0,1.0,['34.5/4.8'],['3.75'],11.0,1366.0,1971-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
315,LANGFORD,-8775179.333,5247910.345,West,North Collins,0.0,2.0,1.0,1.0,['34.4/13.8/5.0'],['5'],3.0,988.0,1994-01-01,34.4,13.8,5.0,5.0,0.0,0.0,0.0,0.0,True,1.811184,1.0
316,LANSINGBURGH,-8201785.623,5276049.706,East,Troy,0.0,2.0,4.0,2.0,"['13.2/4.16/4.8', '34.5/13.8']","['2.5', '7.5']",6.0,2317.0,1994-01-01,13.2,4.16,4.8,2.5,0.0,0.0,0.0,0.0,True,,
317,LATHAM,-8212651.287,5274745.064,East,Colonie,0.0,2.0,2.0,1.0,['34.5/13.8'],['10/12.5'],4.0,389.0,1997-01-01,34.5,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
318,LAWRENCE AVE,-8345688.286,5571086.159,Central,Potsdam,2.0,0.0,6.0,1.0,['115/13.8'],"['12', '12/16/22.4']",8.0,5823.0,1971-10-01,115.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,,
319,LEHIGH,-8432462.226,5362472.517,Central,Camden,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,6454.0,1968-08-22,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
320,LENOX,,,Central,Oneida,0.0,0.0,4.0,1.0,['13.2/4.16'],['5/6.25'],4.0,1086.0,1962-01-01,13.2,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,,
321,LERAY,-8437675.326,5467209.23,Central,Rutland,0.0,1.0,1.0,1.0,['23/4.8'],['1.5'],2.0,699.0,1968-01-01,23.0,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,,
322,LEVANT,,,West,Poland,0.0,1.0,1.0,1.0,['34.5/4.8'],['1'],2.0,235.0,1968-01-01,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
323,LEVITT,-8401454.537,5346271.055,Central,Rome,1.0,0.0,6.0,1.0,['115/4.8'],['7.5/9.375'],7.0,3792.0,1963-10-31,115.0,4.8,0.0,7.5,9.375,0.0,0.0,0.0,True,,
324,LIBERTY,-8203694.646,5270265.673,East,Troy,0.0,5.0,13.0,1.0,"['34.5/13.8', '34.5/4.16']","['12.5', '5', '5/6.25']",18.0,4893.0,2007-12-01,34.5,13.8,0.0,12.5,0.0,0.0,0.0,0.0,True,5.5199928,8.0
325,LIGHTHOUSE HILL,-8457113.794,5391963.209,Central,Orwell,5.0,2.0,5.0,2.0,['115/34.5'],['7.5/9.375'],12.0,3352.0,1951-05-01,115.0,34.5,0.0,7.5,9.375,0.0,0.0,0.0,True,,
326,LIMA,-8639885.646,5297633.171,West,Lima,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,1798.0,1960-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,1.5872160000000002,1.0
327,LINDEN STATION,-8697589.82,5293976.663,West,Bethany,0.0,2.0,1.0,1.0,['34.5/4.8'],['1.5'],3.0,453.0,1997-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.622416,1.0
328,LISBON E.S.,-8384767.064,5578335.538,Central,Lisbon,0.0,1.0,1.0,1.0,['23/4.8'],['1.5/1.725'],2.0,619.0,1953-01-01,23.0,4.8,0.0,1.5,1.725,0.0,0.0,0.0,True,,
329,LITTLE RIVER SUBSTATION,,,Central,Canton,2.0,1.0,2.0,1.0,"['115/13.8', '115/23', '23/4.8']","['10/12/14', '15/20/25', '3.75/4.2/5.25']",5.0,2744.0,1994-02-01,115.0,23.0,0.0,10.0,12.0,14.0,0.0,0.0,True,,
330,LIVINGSTON COUNTY CORRECTIONAL,-8663661.249,5263892.904,NWest,Groveland,0.0,2.0,1.0,3.0,['34.5/13.8'],['0.5'],3.0,45.0,1990-01-01,34.5,13.8,0.0,0.5,0.0,0.0,0.0,0.0,True,0.396,1.0
331,LIVONIA,-8646262.881,5284715.425,West,Livonia,0.0,1.0,3.0,1.0,['34.5/4.8'],['3.75/4.24'],4.0,2049.0,1990-01-01,34.5,4.8,0.0,3.75,4.24,0.0,0.0,0.0,True,2.747184,3.0
332,LOON LAKE,-8244077.79,5550640.495,Central,Franklin,0.0,1.0,1.0,2.0,['46/4.8'],['0.333'],2.0,217.0,1992-01-01,46.0,4.8,0.0,0.333,0.0,0.0,0.0,0.0,True,,
333,LORDS HILL,-8484868.331,5298248.9,Central,Onondaga,0.0,1.0,2.0,1.0,['34.5/4.8'],['3.75/4.69'],3.0,1301.0,1978-01-01,34.5,4.8,0.0,3.75,4.69,0.0,0.0,0.0,True,2.5840319999999997,2.0
334,LORINGS,-8477012.877,5255404.857,Central,Cortlandville,0.0,1.0,1.0,1.0,['34.5/13.8'],['3.75/4.69/5.25'],2.0,507.0,1996-01-01,34.5,13.8,0.0,3.75,4.69,5.25,0.0,0.0,True,,
335,LOWVILLE,-8401987.698,5432333.98,Central,Lowville,1.0,1.0,4.0,1.0,"['115/13.8', '115/24']","['12/16/20', '15/20/25']",6.0,6429.0,1986-02-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
336,LYME E.S.,-8474297.542,5477386.297,Central,Lyme,1.0,0.0,3.0,1.0,['115/13.8'],['15/20/25'],4.0,7586.0,1991-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
337,LYNDONVILLE,-8725951.982,5361638.818,West,Yates,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.750/4.68'],5.0,1822.0,2005-05-01,34.5,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,2.657616,3.0
