,substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders,_merge
566,PHOENIX,Central,Schroeppel,0.0,1.0,3.0,1.0,34.5/4.8,5/6.25/7,4.0,2231.0,1969-01-01,34.5,4.8,0.0,5.0,6.25,7.0,0.0,0.0,True,3.1071839999999997,2.0,both
567,PIERCEFIELD,Central,Piercefield,0.0,1.0,1.0,3.0,46/4.8,0.33,2.0,412.0,1973-01-01,46.0,4.8,0.0,0.33,0.0,0.0,0.0,0.0,True,,,left_only
568,PINE GROVE,Central,Cicero,2.0,0.0,7.0,1.0,115/13.8,18/24/30,9.0,12143.0,1991-01-01,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,27.156755999999998,7.0,both
569,PINE GROVE,Central,Cicero,2.0,0.0,7.0,1.0,115/13.8,20/26.7/33.3,0.0,12143.0,1991-01-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,27.156755999999998,7.0,both
570,PINEBUSH,East,Guilderland,2.0,0.0,6.0,1.0,115/13.8,12,8.0,6760.0,1989-01-01,115.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,,,left_only
571,PINEBUSH,East,Guilderland,2.0,0.0,6.0,1.0,115/13.8,15,0.0,6760.0,1989-01-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,,,left_only
572,PLEASANT,Central,Utica,0.0,2.0,6.0,2.0,43.8/4.36,5/6.25,8.0,5237.0,1961-01-01,43.8,4.36,0.0,5.0,6.25,0.0,0.0,0.0,True,,,left_only
573,POLAND,West,Poland,0.0,1.0,2.0,1.0,34.5/4.8,2.5,3.0,2557.0,1972-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
574,POLAND SUBSTATION,Central,Russia,0.0,1.0,2.0,1.0,46/13.8,10,3.0,1722.0,1996-01-01,46.0,13.8,0.0,10.0,0.0,0.0,0.0,0.0,True,,,left_only
575,POMPEY,Central,Pompey,0.0,1.0,2.0,3.0,34.5/4.16,0.83,3.0,776.0,1966-01-01,34.5,4.16,0.0,0.83,0.0,0.0,0.0,0.0,True,1.3034528,2.0,both
576,PORT HENRY,East,Moriah,1.0,0.0,2.0,1.0,113/13.8,7.5/8.4,3.0,3858.0,1966-11-06,113.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,,,left_only
577,PORT LEYDEN,Central,Leyden,0.0,1.0,1.0,3.0,23/4.8,0.83,2.0,960.0,1959-01-01,23.0,4.8,0.0,0.83,0.0,0.0,0.0,0.0,True,,,left_only
578,PORTAGE ST.,Central,Watertown,0.0,1.0,3.0,1.0,23/4.8,0.5,4.0,2001.0,2001-04-26,23.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,,left_only
579,POTTERSVILLE,East,Chester,0.0,1.0,1.0,1.0,34.4/7.5/8.4,7.5,2.0,1221.0,2012-06-01,34.4,7.5,8.4,7.5,0.0,0.0,0.0,0.0,True,,,left_only
580,PRICE CORNERS (DIST.) SUB,West,Randolph,0.0,3.0,1.0,3.0,34.5/13.8,0.5,4.0,63.0,2005-06-11,34.5,13.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,,left_only
