substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
MEXICO,Central,Mexico,0,1,2,1,34.5/4.8,2.5/3.13,3,1471,1963-01-01,34.5,4.8,0.0,2.5,3.13,0,0,0,True
MIDDLEBURG,East,Middleburgh,1,0,2,1,69/13.8,7.5/9.4/10.5,3,4011,1977-01-01,69.0,13.8,0.0,7.5,9.4,10.5,0,0,True
MIDDLEPORT,West,Royalton,0,2,3,1,34.5/4.8,4.7/5.25,5,1916,1973-01-01,34.5,4.8,0.0,4.7,5.25,0,0,0,True
"MIDDLEVILLE, ie. HANSON (MIDDL",Central,Fairfield,0,1,1,1,46/4.16,3.75/4.69/5.25,2,665,1956-01-01,46.0,4.16,0.0,3.75,4.69,5.25,0,0,True
MIDLER,Central,Dewitt,0,1,4,1,34.5/4.16,5/6.25,5,74,1965-01-01,34.5,4.16,0.0,5,6.25,0,0,0,True
MILL ST.,Central,Watertown,0,2,13,3,23/4.8,5/6.25,15,3198,1956-01-01,23.0,4.8,0.0,5,6.25,0,0,0,True
MILLER ST.,Central,Cortland,0,1,2,3,34.5/4.8,2.5/3.1,3,1771,1940-01-01,34.5,4.8,0.0,2.5,3.1,0,0,0,True
MILTON,Central,Camillus,2,0,4,1,113/13.8,12/16/20,6,7439,1969-01-01,113.0,13.8,0.0,12,16,20,0,0,True
MINOA,Central,Manlius,0,2,2,1,34.5/4.8,3.75/4.69,4,1388,1952-01-01,34.5,4.8,0.0,3.75,4.69,0,0,0,True
MINOA,Central,Manlius,0,2,2,3,115/34.5/13.2,6.67,0,1388,1952-01-01,115.0,34.5,13.2,6.67,0,0,0,0,True
MOIRA,Central,Moira,0,1,2,1,34.5/4.8,3/4,3,2011,1950-01-01,34.5,4.8,0.0,3,4,0,0,0,True
MORRISTOWN,Central,Morristown,0,1,2,1,23/5.04,2.5,3,1113,2010-11-23,23.0,5.04,0.0,2.5,0,0,0,0,True
MUMFORD,West,Wheatland,2,0,3,1,115/13.8,15/20/25,5,6141,1986-03-19,115.0,13.8,0.0,15,20,25,0,0,True
NASSAU,East,Nassau,0,2,3,1,34.5/4.8,5/7,5,2286,1993-01-01,34.5,4.8,0.0,5,7,0,0,0,True
NEW HAVEN,Central,New Haven,2,0,2,1,115/13.8,7.5/9.375,4,3811,1997-01-01,115.0,13.8,0.0,7.5,9.375,0,0,0,True
NEW KRUMKILL,East,Albany,2,0,4,1,113/13.8,18/24/30,6,7932,1977-01-01,113.0,13.8,0.0,18,24,30,0,0,True
NEW KRUMKILL,East,Albany,2,0,4,1,13.2/4.16,7.5/9.4/10.5,0,7932,1977-01-01,13.2,4.16,0.0,7.5,9.4,10.5,0,0,True
NEWARK ST,East,Cohoes,0,2,4,2,34.5/13.8,10,6,8301,1995-01-01,34.5,13.8,0.0,10,0,0,0,0,True
NEWTON FALLS,Central,Clifton,0,1,1,1,34.5/2.4,2.5,2,136,2003-05-01,34.5,2.4,0.0,2.5,0,0,0,0,True
NEWTON FALLS,Central,Clifton,0,1,1,2,34.5/2.4,2.5,0,136,2003-05-01,34.5,2.4,0.0,2.5,0,0,0,0,True
NEWTONVILLE,East,Colonie,0,2,6,1,34.5/13.8,5/6.25,8,1554,1957-05-25,34.5,13.8,0.0,5,6.25,0,0,0,True
NEWTONVILLE,East,Colonie,0,2,6,1,34.5/4.16,5/5.6,0,1554,1957-05-25,34.5,4.16,0.0,5,5.6,0,0,0,True
NICHOLVILLE,Central,Lawrence,1,2,2,1,115/34.5,10/12.5,5,2335,1954-03-01,115.0,34.5,0.0,10,12.5,0,0,0,True
NICHOLVILLE,Central,Lawrence,1,2,2,1,34.5/4.8,1.25,0,2335,1954-03-01,34.5,4.8,0.0,1.25,0,0,0,0,True
NICHOLVILLE,Central,Lawrence,1,2,2,2,34.5/4.8,1.25,0,2335,1954-03-01,34.5,4.8,0.0,1.25,0,0,0,0,True
